Key,UseI,Sample,Name,year,S1,S2,S3
EK36-7,S129,EK36,Zaza,2014,A022,B080,C016
EK12-10,S100,EK12,Longnose,2014,A008,B071,C008
EK12-8,S100,EK12,Longnose,2014,A008,B071,C008
EK06-6,S098,EK06,Abigail,2014,A073,B072,C008
EK04-2,S016,EK04,Ester,2014,A006,B057,C007
EK117-1,S016,EK117,Michelle,2015,A006,B056,C007
EK25-1,S016,EK25,Themeda,2014,A072,B058,C007
EK74-1,S016,EK74,Nacho,2015,A007,B055,C007
EK74-2,S016,EK74,Nacho,2015,A007,B055,C007
EK123-4,S171,EK123,Lauren,2015,A027,B078,C019
EK88-7,S168,EK88,Nina,2015,A027,B078,C019
EK91-9,S175,EK91,Coffee,2015,A027,B078,C019
EK116-10,S051,EK116,Genevieve,2015,A026,B038,C019
EK117-5,S051,EK117,Michelle,2015,A026,B038,C019
EK10-8,S167,EK10,Bubbles,2014,A026,B038,C019
EK137-1,S053,EK137,Julia,2015,A026,B038,C019
EK99-2,S053,EK99,Cyclops,2015,A026,B038,C019
EK100-5,S052,EK100,Gina,2015,A026,B038,C019
EK111-2,S052,EK111,Ditto,2015,A026,B038,C019
EK137-3,S053,EK137,Julia,2015,A026,B097,C019
EK137-4,S053,EK137,Julia,2015,A026,B097,C019
EK121-1,S176,EK121,Opal,2015,A126,B087,C020
EK121-2,S176,EK121,Opal,2015,A126,B087,C020
EK141-7,S178,EK141,Louis,2015,A028,B086,C020
EK31-1,S174,EK31,Enid,2014,A028,B086,C020
EK07-6,S049,EK07,Amanda,2014,A025,B036,C018
EK07-8,S049,EK07,Amanda,2014,A025,B036,C018
EK07-5,S049,EK07,Amanda,2014,A025,B036,C018
EK07-10,S049,EK07,Amanda,2014,A025,B036,C018
EK07-4,S049,EK07,Amanda,2014,A025,B036,C018
EK07-9,S049,EK07,Amanda,2014,A025,B036,C018
EK12-7,S165,EK12,Longnose,2014,A025,B036,C018
EK96-1,S051,EK96,Bubbles,2015,A080,B137,C018
EK07-1,S169,EK07,Amanda,2014,A024,B119,C017
EK123-2,S170,EK123,Lauren,2015,A024,B118,C017
EK30-1,S159,EK30,Goggles,2014,A024,B068,C017
EK58-1,S159,EK58,Stripes,2015,A024,B068,C017
EK35-2,S159,EK35,Cashew,2014,A024,B068,C017
EK54-2,S172,EK54,Jacquei,2015,A024,B096,C017
EK54-8,S172,EK54,Jacquei,2015,A024,B096,C017
EK06-4,S162,EK06,Abigail,2014,A023,B075,C017
EK16-3,S164,EK16,TeenMom,2014,A023,B075,C017
EK06-2,S158,EK06,Abigail,2014,A023,B075,C017
EK10-10,a081,EK10,Bubbles,2014,A081,B148,C061
EK69-1,S187,EK69,Trevor,2015,A106,B149,C066
EK62-1,S069,EK62,Hazel,2015,A055,B093,C044
EK62-7,S073,EK62,Hazel,2015,A055,B093,C044
EK125-1,S069,EK125,Longnose,2015,A055,B069,C044
EK59-3,S069,EK59,Abigail,2015,A055,B069,C044
EK96-2,S069,EK96,Bubbles,2015,A055,B069,C044
EK112-7,S076,EK112,Beans,2015,A055,B094,C044
EK93-1,S076,EK93,Nikki,2015,A055,B094,C044
EK125-10,S069,EK125,Longnose,2015,A056,B063,C044
EK125-2,S069,EK125,Longnose,2015,A056,B063,C044
EK134-4,S008,EK134,Mike,2015,A056,B063,C044
EK84-2,S008,EK84,Chilli,2015,A056,B063,C044
EK37-1,S085,EK37,Sadie,2014,A054,B081,C045
EK37-5,S085,EK37,Sadie,2014,A054,B081,C045
EK37-10,S087,EK37,Sadie,2014,A113,B126,C045
EK88-3,S007,EK88,Nina,2015,A057,B106,C046
EK88-5,S007,EK88,Nina,2015,A057,B106,C046
EK38-6,S088,EK38,Fiona,2014,A114,B145,C073
EK89-8,S192,EK89,Milo,2015,A059,B112,C047
EK89-9,S192,EK89,Milo,2015,A059,B112,C047
EK130-1,S197,EK130,Barney,2015,A003,B083,C001
EK86-2,S196,EK86,Brain,2015,A004,B084,C001
EK72-6,S195,EK72,Helen,2015,A123,B128,C056
EK02-4,S194,EK02,Granite,2014,A069,B131,C055
EK134-10,S198,EK134,Mike,2015,A002,B061,C002
EK134-8,S198,EK134,Mike,2015,A002,B061,C002
EK75-1,S062,EK75,Themeda,2015,A001,B060,C003
EK75-2,S062,EK75,Themeda,2015,A001,B060,C003
EK38-9,S200,EK38,Fiona,2014,A070,B100,C057
EK69-2,S201,EK69,Trevor,2015,A071,B099,C058
EK02-3,S242,EK02,Granite,2014,A067,B103,C053
EK112-3,S242,EK112,Beans,2015,A068,B102,C054
EK69-5,S204,EK69,Trevor,2015,A003,B073,C006
EK69-6,S204,EK69,Trevor,2015,A003,B073,C006
EK28-4,S203,EK28,Maude,2014,A124,B074,C059
EK123-1,S210,EK123,Lauren,2015,A005,B040,C004
EK123-3,S210,EK123,Lauren,2015,A005,B040,C004
EK91-2,S209,EK91,Coffee,2015,A125,B041,C004
EK142-1,S207,EK142,Regan,2015,A004,B039,C005
EK142-2,S207,EK142,Regan,2015,A004,B039,C005
EK70-5,S206,EK70,Domino,2015,A004,B039,C005
EK99-1,S207,EK99,Cyclops,2015,A004,B039,C005
EK35-7,S063,EK35,Cashew,2014,A060,B026,C048
EK97-1,S063,EK97,Francis,2015,A060,B026,C048
EK147-3,S063,EK147,Naomi,2015,A060,B025,C048
EK18-2,S063,EK18,Francis,2014,A060,B025,C048
EK05-1,S212,EK05,Bene,2014,A060,B028,C048
EK35-3,S213,EK35,Cashew,2014,A115,B029,C048
EK135-1,S001,EK135,Bene,2015,A061,B027,C048
EK135-6,S001,EK135,Bene,2015,A061,B027,C048
EK35-4,S216,EK35,Cashew,2014,A116,B030,C074
EK77-3,S218,EK77,Tim,2015,A117,B031,C075
EK135-2,S223,EK135,Bene,2015,A063,B042,C050
EK70-1,S222,EK70,Domino,2015,A063,B042,C050
