"","Ecoli.cutoff","Host.cutoff","index","Coef.Parameter","Coef.Estimate","Coef.Year.2015.Parameter","Coef.Year.2015.Estimate","Coef.betweeness.Parameter","Coef.betweeness.Estimate","Coef.betweeness.Year.2015.Parameter","Coef.betweeness.Year.2015.Estimate","Coef.eigencent.Parameter","Coef.eigencent.Estimate","Coef.eigencent.Year.2015.Parameter","Coef.eigencent.Year.2015.Estimate","Coef.degree.Year.2015.Parameter","Coef.degree.Year.2015.Estimate"
"600","0.9",0.0954545454545455,"SRI","Ecoli.degree",1.28408124677679,"Year.2015",-2.244764417101,"Ecoli.betweenness",2.08327378223557,"Ecoli.betweenness*Year.2015",-2.02669036574213,"Ecoli.evcent",0.0429274156656465,"Year.2015",-0.0571969663575495,"Ecoli.degree*Year.2015",-1.38518604958218
"601","0.94",0.0454545454545455,"HWI","Ecoli.degree",4.01228085308489,"Year.2015",3.60173564910602,"Ecoli.betweenness",70.0889454514303,"Ecoli.betweenness*Year.2015",-61.7756455793479,"Ecoli.evcent",0.0138467482742484,"Year.2015",-0.0227439043045312,"Ecoli.degree*Year.2015",-4.03898961917127
"602","0.9",0.146969696969697,"HWI","Ecoli.degree",1.58305072729678,"Year.2015",-2.23027495582854,"Ecoli.betweenness",4.21128467084913,"Ecoli.betweenness*Year.2015",-4.01461243185505,"Ecoli.evcent",0.024354681030538,"Year.2015",-0.0105319577270294,"Ecoli.degree*Year.2015",-1.67957262087209
"603","0.9",0.0484848484848485,"HWI","Ecoli.degree",1.40958391725227,"Year.2015",3.52748414572861,"Ecoli.betweenness",13.6140357324616,"Ecoli.betweenness*Year.2015",-9.810682105615,"Ecoli.evcent",0.01074508481972,"Year.2015",-0.0323486315303217,"Ecoli.degree*Year.2015",-1.92728166900837
"604","0.94",0.0939393939393939,"HWI","Ecoli.degree",2.37293487357865,"Year.2015",-1.80326244953059,"Ecoli.betweenness",185.021310525727,"Ecoli.betweenness*Year.2015",-180.804855045218,"Ecoli.evcent",0.00984729341106971,"Year.2015",-0.0250344009475124,"Ecoli.degree*Year.2015",-2.27801448400255
"605","0.94",0.0424242424242424,"HWI","Ecoli.degree",3.62897473535304,"Year.2015",4.25281330526723,"Ecoli.betweenness",78.5263905892626,"Ecoli.betweenness*Year.2015",-71.4825367451235,"Ecoli.evcent",0.0133109968832312,"Year.2015",-0.019968733032613,"Ecoli.degree*Year.2015",-3.6424514379565
"606","0.9",0.0136363636363636,"HWI","Ecoli.degree",0.0435325303996151,"Year.2015",13.9561248147494,"Ecoli.betweenness",7.29838357565398,"Ecoli.betweenness*Year.2015",-6.02736549504233,"Ecoli.evcent",0.0126085938369266,"Year.2015",-0.0244755708718316,"Ecoli.degree*Year.2015",-0.107602628598582
"607","0.9",0.146969696969697,"HWI","Ecoli.degree",1.58305072729678,"Year.2015",-2.23027495582854,"Ecoli.betweenness",4.21128467084913,"Ecoli.betweenness*Year.2015",-4.01461243185505,"Ecoli.evcent",0.024354681030538,"Year.2015",-0.0105319577270294,"Ecoli.degree*Year.2015",-1.67957262087209
"608","0.9",0.0954545454545455,"SRI","Ecoli.degree",1.28408124677679,"Year.2015",-2.244764417101,"Ecoli.betweenness",2.08327378223557,"Ecoli.betweenness*Year.2015",-2.02669036574213,"Ecoli.evcent",0.0429274156656465,"Year.2015",-0.0571969663575495,"Ecoli.degree*Year.2015",-1.38518604958218
"609","0.94",0.15,"HWI","Ecoli.degree",1.1081670640624,"Year.2015",-1.94022708960612,"Ecoli.betweenness",12.7349520144478,"Ecoli.betweenness*Year.2015",-12.6391579748697,"Ecoli.evcent",0.0224728412824681,"Year.2015",0.000405520671605181,"Ecoli.degree*Year.2015",-1.11257560647445
